"description","quantity","unit","matchDescription","gwp","source","tabName","rowNumber"
"m pile - steel welded pipe:600mm diameter:219657",2,"m3","Steel, welded pipe",37034,"ice","foundations",73
"m pile cap - 9 pile : 3800 x 3800 x 600mm:216123",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",43
"m pile cap - 9 pile : 3800 x 3800 x 600mm:217208",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",53
"m pile cap - 9 pile : 3800 x 3800 x 600mm:217104",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",51
"m pile - steel welded pipe:600mm diameter:219643",2,"m3","Steel, welded pipe",37034,"ice","foundations",59
"m pile - steel welded pipe:600mm diameter:219655",2,"m3","Steel, welded pipe",37034,"ice","foundations",71
"m pile - steel welded pipe:600mm diameter:219649",2,"m3","Steel, welded pipe",37034,"ice","foundations",65
"m pile - steel welded pipe:600mm diameter:219645",2,"m3","Steel, welded pipe",37034,"ice","foundations",61
"m pile - steel welded pipe:600mm diameter:219653",2,"m3","Steel, welded pipe",37034,"ice","foundations",69
"m pile - steel welded pipe:600mm diameter:219661",2,"m3","Steel, welded pipe",37034,"ice","foundations",77
"m pile - steel welded pipe:600mm diameter:219694",2,"m3","Steel, welded pipe",37034,"ice","foundations",101
"m pile - steel welded pipe:600mm diameter:219673",2,"m3","Steel, welded pipe",37034,"ice","foundations",89
"m pile - steel welded pipe:600mm diameter:219692",2,"m3","Steel, welded pipe",37034,"ice","foundations",99
"m pile - steel welded pipe:600mm diameter:219696",2,"m3","Steel, welded pipe",37034,"ice","foundations",103
"m pile - steel welded pipe:600mm diameter:219700",2,"m3","Steel, welded pipe",37034,"ice","foundations",107
"m pile - steel welded pipe:600mm diameter:219704",2,"m3","Steel, welded pipe",37034,"ice","foundations",111
"m pile - steel welded pipe:600mm diameter:219710",2,"m3","Steel, welded pipe",37034,"ice","foundations",117
"m pile - steel welded pipe:600mm diameter:219706",2,"m3","Steel, welded pipe",37034,"ice","foundations",113
"m pile - steel welded pipe:600mm diameter:219714",2,"m3","Steel, welded pipe",37034,"ice","foundations",121
"m pile - steel welded pipe:600mm diameter:219716",2,"m3","Steel, welded pipe",37034,"ice","foundations",123
"m pile - steel welded pipe:600mm diameter:219732",2,"m3","Steel, welded pipe",37034,"ice","foundations",139
"m pile - steel welded pipe:600mm diameter:219724",2,"m3","Steel, welded pipe",37034,"ice","foundations",131
"m pile - steel welded pipe:600mm diameter:219726",2,"m3","Steel, welded pipe",37034,"ice","foundations",133
"m pile - steel welded pipe:600mm diameter:219728",2,"m3","Steel, welded pipe",37034,"ice","foundations",135
"m pile - steel welded pipe:600mm diameter:219746",2,"m3","Steel, welded pipe",37034,"ice","foundations",153
"m pile - steel welded pipe:600mm diameter:219740",2,"m3","Steel, welded pipe",37034,"ice","foundations",147
"m pile - steel welded pipe:600mm diameter:219744",2,"m3","Steel, welded pipe",37034,"ice","foundations",151
"m pile - steel welded pipe:600mm diameter:219762",2,"m3","Steel, welded pipe",37034,"ice","foundations",169
"m pile - steel welded pipe:600mm diameter:219754",2,"m3","Steel, welded pipe",37034,"ice","foundations",161
"m pile - steel welded pipe:600mm diameter:219770",2,"m3","Steel, welded pipe",37034,"ice","foundations",177
"m pile - steel welded pipe:600mm diameter:219752",2,"m3","Steel, welded pipe",37034,"ice","foundations",159
"m pile - steel welded pipe:600mm diameter:219772",2,"m3","Steel, welded pipe",37034,"ice","foundations",179
"m pile - steel welded pipe:600mm diameter:219758",2,"m3","Steel, welded pipe",37034,"ice","foundations",165
"m pile - steel welded pipe:600mm diameter:219782",2,"m3","Steel, welded pipe",37034,"ice","foundations",189
"m pile - steel welded pipe:600mm diameter:219768",2,"m3","Steel, welded pipe",37034,"ice","foundations",175
"m pile - steel welded pipe:600mm diameter:219778",2,"m3","Steel, welded pipe",37034,"ice","foundations",185
"m pile - steel welded pipe:600mm diameter:219790",2,"m3","Steel, welded pipe",37034,"ice","foundations",197
"m pile - steel welded pipe:600mm diameter:219786",2,"m3","Steel, welded pipe",37034,"ice","foundations",193
"m pile - steel welded pipe:600mm diameter:219792",2,"m3","Steel, welded pipe",37034,"ice","foundations",199
"m pile - steel welded pipe:600mm diameter:219800",2,"m3","Steel, welded pipe",37034,"ice","foundations",207
"m pile - steel welded pipe:600mm diameter:219804",2,"m3","Steel, welded pipe",37034,"ice","foundations",211
"m pile - steel welded pipe:600mm diameter:219808",2,"m3","Steel, welded pipe",37034,"ice","foundations",215
"m pile - steel welded pipe:600mm diameter:219812",2,"m3","Steel, welded pipe",37034,"ice","foundations",219
"m pile - steel welded pipe:600mm diameter:219814",2,"m3","Steel, welded pipe",37034,"ice","foundations",221
"m pile - steel welded pipe:600mm diameter:219824",2,"m3","Steel, welded pipe",37034,"ice","foundations",231
"m pile - steel welded pipe:600mm diameter:219816",2,"m3","Steel, welded pipe",37034,"ice","foundations",223
"m pile - steel welded pipe:600mm diameter:219830",2,"m3","Steel, welded pipe",37034,"ice","foundations",237
"m pile - steel welded pipe:600mm diameter:219826",2,"m3","Steel, welded pipe",37034,"ice","foundations",233
"m pile - steel welded pipe:600mm diameter:219834",2,"m3","Steel, welded pipe",37034,"ice","foundations",241
"m pile - steel welded pipe:600mm diameter:219840",2,"m3","Steel, welded pipe",37034,"ice","foundations",247
"m pile - steel welded pipe:600mm diameter:219844",2,"m3","Steel, welded pipe",37034,"ice","foundations",251
"m pile - steel welded pipe:600mm diameter:219846",2,"m3","Steel, welded pipe",37034,"ice","foundations",253
"m pile - steel welded pipe:600mm diameter:219852",2,"m3","Steel, welded pipe",37034,"ice","foundations",259
"m pile - steel welded pipe:600mm diameter:219862",2,"m3","Steel, welded pipe",37034,"ice","foundations",269
"m pile - steel welded pipe:600mm diameter:219854",2,"m3","Steel, welded pipe",37034,"ice","foundations",261
"m pile - steel welded pipe:600mm diameter:219870",2,"m3","Steel, welded pipe",37034,"ice","foundations",277
"m pile - steel welded pipe:600mm diameter:219864",2,"m3","Steel, welded pipe",37034,"ice","foundations",271
"m pile - steel welded pipe:600mm diameter:219880",2,"m3","Steel, welded pipe",37034,"ice","foundations",287
"m pile - steel welded pipe:600mm diameter:219868",2,"m3","Steel, welded pipe",37034,"ice","foundations",275
"m pile - steel welded pipe:600mm diameter:219892",2,"m3","Steel, welded pipe",37034,"ice","foundations",299
"m pile - steel welded pipe:600mm diameter:219872",2,"m3","Steel, welded pipe",37034,"ice","foundations",279
"m pile - steel welded pipe:600mm diameter:219900",2,"m3","Steel, welded pipe",37034,"ice","foundations",307
"m pile - steel welded pipe:600mm diameter:219890",2,"m3","Steel, welded pipe",37034,"ice","foundations",297
"m pile - steel welded pipe:600mm diameter:219884",2,"m3","Steel, welded pipe",37034,"ice","foundations",291
"m pile - steel welded pipe:600mm diameter:219912",2,"m3","Steel, welded pipe",37034,"ice","foundations",319
"m pile - steel welded pipe:600mm diameter:219894",2,"m3","Steel, welded pipe",37034,"ice","foundations",301
"m pile - steel welded pipe:600mm diameter:219916",2,"m3","Steel, welded pipe",37034,"ice","foundations",323
"m pile - steel welded pipe:600mm diameter:219910",2,"m3","Steel, welded pipe",37034,"ice","foundations",317
"m pile - steel welded pipe:600mm diameter:219922",2,"m3","Steel, welded pipe",37034,"ice","foundations",329
"m pile - steel welded pipe:600mm diameter:219914",2,"m3","Steel, welded pipe",37034,"ice","foundations",321
"m pile - steel welded pipe:600mm diameter:219940",2,"m3","Steel, welded pipe",37034,"ice","foundations",347
"m pile - steel welded pipe:600mm diameter:219918",2,"m3","Steel, welded pipe",37034,"ice","foundations",325
"m pile - steel welded pipe:600mm diameter:219926",2,"m3","Steel, welded pipe",37034,"ice","foundations",333
"m pile - steel welded pipe:600mm diameter:219975",2,"m3","Steel, welded pipe",37034,"ice","foundations",373
"m pile - steel welded pipe:600mm diameter:219928",2,"m3","Steel, welded pipe",37034,"ice","foundations",335
"m pile - steel welded pipe:600mm diameter:219973",2,"m3","Steel, welded pipe",37034,"ice","foundations",371
"m pile - steel welded pipe:600mm diameter:219936",2,"m3","Steel, welded pipe",37034,"ice","foundations",343
"m pile - steel welded pipe:600mm diameter:219944",2,"m3","Steel, welded pipe",37034,"ice","foundations",351
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",0,"m3","Concrete RC35/45 with 14% limestone cement",165,"ice","foundations",389
"m pile - steel welded pipe:600mm diameter:219946",2,"m3","Steel, welded pipe",37034,"ice","foundations",353
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",12,"m3","Concrete RC35/45 with 14% limestone cement",4133,"ice","foundations",391
"m pile - steel welded pipe:600mm diameter:219950",2,"m3","Steel, welded pipe",37034,"ice","foundations",357
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",0,"m3","Concrete RC35/45 with 14% limestone cement",116,"ice","foundations",393
"m pile - steel welded pipe:600mm diameter:219954",2,"m3","Steel, welded pipe",37034,"ice","foundations",361
"m pile - steel welded pipe:400mm diameter:254026",1,"m3","Steel, welded pipe",16454,"ice","foundations",415
"m pile - steel welded pipe:600mm diameter:219971",2,"m3","Steel, welded pipe",37034,"ice","foundations",369
"m pile - steel welded pipe:400mm diameter:254071",1,"m3","Steel, welded pipe",16454,"ice","foundations",418
"m pile - steel welded pipe:600mm diameter:219979",2,"m3","Steel, welded pipe",37034,"ice","foundations",377
"m pile - steel welded pipe:400mm diameter:254142",1,"m3","Steel, welded pipe",16454,"ice","foundations",435
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",10,"m3","Concrete RC35/45 with 14% limestone cement",3286,"ice","foundations",397
"m pile - steel welded pipe:400mm diameter:254216",1,"m3","Steel, welded pipe",16454,"ice","foundations",449
"m pile - steel welded pipe:400mm diameter:253939",1,"m3","Steel, welded pipe",16454,"ice","foundations",407
"m pile - steel welded pipe:400mm diameter:254203",1,"m3","Steel, welded pipe",16454,"ice","foundations",443
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",10,"m3","Concrete RC35/45 with 14% limestone cement",3286,"ice","foundations",401
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254246",4,"m3","Concrete RC40/50 with CEM I cement",1675,"ice","foundations",451
"m pile - steel welded pipe:400mm diameter:254070",1,"m3","Steel, welded pipe",16454,"ice","foundations",417
"m pile - steel welded pipe:400mm diameter:254320",1,"m3","Steel, welded pipe",16454,"ice","foundations",470
"m pile - steel welded pipe:400mm diameter:254108",1,"m3","Steel, welded pipe",16454,"ice","foundations",427
"m pile - steel welded pipe:400mm diameter:254138",1,"m3","Steel, welded pipe",16454,"ice","foundations",431
"m pile - steel welded pipe:400mm diameter:254391",1,"m3","Steel, welded pipe",16454,"ice","foundations",485
"m pile - steel welded pipe:400mm diameter:254212",1,"m3","Steel, welded pipe",16454,"ice","foundations",445
"m pile - steel welded pipe:400mm diameter:254214",1,"m3","Steel, welded pipe",16454,"ice","foundations",447
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254472",4,"m3","Concrete RC40/50 with CEM I cement",1675,"ice","foundations",493
"m pile - steel welded pipe:400mm diameter:254479",1,"m3","Steel, welded pipe",16454,"ice","foundations",499
"m pile - steel welded pipe:400mm diameter:254251",1,"m3","Steel, welded pipe",16454,"ice","foundations",455
"m pile - steel welded pipe:400mm diameter:254549",1,"m3","Steel, welded pipe",16454,"ice","foundations",513
"m pile - steel welded pipe:400mm diameter:253937",1,"m3","Steel, welded pipe",16454,"ice","foundations",405
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254314",4,"m3","Concrete RC40/50 with CEM I cement",1675,"ice","foundations",465
"m pile - steel welded pipe:400mm diameter:254592",1,"m3","Steel, welded pipe",16454,"ice","foundations",517
"m pile - steel welded pipe:400mm diameter:254319",1,"m3","Steel, welded pipe",16454,"ice","foundations",469
"m pile - steel welded pipe:400mm diameter:254590",1,"m3","Steel, welded pipe",16454,"ice","foundations",515
"m pile - steel welded pipe:400mm diameter:254709",1,"m3","Steel, welded pipe",16454,"ice","foundations",531
"m pile - steel welded pipe:400mm diameter:254387",1,"m3","Steel, welded pipe",16454,"ice","foundations",481
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254384",4,"m3","Concrete RC40/50 with CEM I cement",1675,"ice","foundations",479
"m pile - steel welded pipe:400mm diameter:254389",1,"m3","Steel, welded pipe",16454,"ice","foundations",483
"m pile - steel welded pipe:600mm diameter:219667",2,"m3","Steel, welded pipe",37034,"ice","foundations",83
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254419",4,"m3","Concrete RC40/50 with CEM I cement",1675,"ice","foundations",486
"m pile - steel welded pipe:400mm diameter:254509",1,"m3","Steel, welded pipe",16454,"ice","foundations",501
"m pile - steel welded pipe:400mm diameter:254513",1,"m3","Steel, welded pipe",16454,"ice","foundations",505
"m pile - steel welded pipe:400mm diameter:254594",1,"m3","Steel, welded pipe",16454,"ice","foundations",519
"m pile - steel welded pipe:400mm diameter:254663",1,"m3","Steel, welded pipe",16454,"ice","foundations",523
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254740",4,"m3","Concrete RC40/50 with CEM I cement",1675,"ice","foundations",535
"m pile - steel welded pipe:400mm diameter:254745",1,"m3","Steel, welded pipe",16454,"ice","foundations",539
"m pile - steel welded pipe:600mm diameter:219665",2,"m3","Steel, welded pipe",37034,"ice","foundations",81
"concrete rc35/45 - cast-in-place concrete block",7,"m3","Concrete RC35/45 with CEM I cement",2567,"ice","foundations",557
"m pile cap - 9 pile : 3800 x 3800 x 600mm:213839",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",20
"m pile cap - 9 pile : 3800 x 3800 x 600mm:214540",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",26
"m pile cap - 9 pile : 3800 x 3800 x 600mm:214906",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",30
"m pile cap - 9 pile : 3800 x 3800 x 600mm:215738",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",40
"m pile cap - 9 pile : 3800 x 3800 x 600mm:217520",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",54
"m pile - steel welded pipe:600mm diameter:219642",2,"m3","Steel, welded pipe",37034,"ice","foundations",58
"m pile - steel welded pipe:600mm diameter:219646",2,"m3","Steel, welded pipe",37034,"ice","foundations",62
"m pile - steel welded pipe:600mm diameter:219672",2,"m3","Steel, welded pipe",37034,"ice","foundations",88
"m pile - steel welded pipe:600mm diameter:219656",2,"m3","Steel, welded pipe",37034,"ice","foundations",72
"m pile - steel welded pipe:600mm diameter:219664",2,"m3","Steel, welded pipe",37034,"ice","foundations",80
"m pile cap - 9 pile : 3800 x 3800 x 600mm:215062",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",32
"m pile - steel welded pipe:600mm diameter:219719",2,"m3","Steel, welded pipe",37034,"ice","foundations",126
"m pile - steel welded pipe:600mm diameter:219705",2,"m3","Steel, welded pipe",37034,"ice","foundations",112
"m pile - steel welded pipe:600mm diameter:219701",2,"m3","Steel, welded pipe",37034,"ice","foundations",108
"m pile - steel welded pipe:600mm diameter:219686",2,"m3","Steel, welded pipe",37034,"ice","foundations",93
"m pile cap - 9 pile : 3800 x 3800 x 600mm:216963",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",50
"m pile cap - 9 pile : 3800 x 3800 x 600mm:216534",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",46
"m pile - steel welded pipe:600mm diameter:219652",2,"m3","Steel, welded pipe",37034,"ice","foundations",68
"m pile cap - 9 pile : 3800 x 3800 x 600mm:215456",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",36
"m pile - steel welded pipe:600mm diameter:219689",2,"m3","Steel, welded pipe",37034,"ice","foundations",96
"m pile - steel welded pipe:600mm diameter:219670",2,"m3","Steel, welded pipe",37034,"ice","foundations",86
"m pile - steel welded pipe:600mm diameter:219662",2,"m3","Steel, welded pipe",37034,"ice","foundations",78
"m pile - steel welded pipe:600mm diameter:219650",2,"m3","Steel, welded pipe",37034,"ice","foundations",66
"m pile - steel welded pipe:600mm diameter:219707",2,"m3","Steel, welded pipe",37034,"ice","foundations",114
"m pile - steel welded pipe:600mm diameter:219699",2,"m3","Steel, welded pipe",37034,"ice","foundations",106
"m pile - steel welded pipe:600mm diameter:219697",2,"m3","Steel, welded pipe",37034,"ice","foundations",104
"m pile - steel welded pipe:600mm diameter:219785",2,"m3","Steel, welded pipe",37034,"ice","foundations",192
"m pile - steel welded pipe:600mm diameter:219777",2,"m3","Steel, welded pipe",37034,"ice","foundations",184
"m pile - steel welded pipe:600mm diameter:219745",2,"m3","Steel, welded pipe",37034,"ice","foundations",152
"m pile - steel welded pipe:600mm diameter:219807",2,"m3","Steel, welded pipe",37034,"ice","foundations",214
"m pile - steel welded pipe:600mm diameter:219823",2,"m3","Steel, welded pipe",37034,"ice","foundations",230
"m pile - steel welded pipe:600mm diameter:219813",2,"m3","Steel, welded pipe",37034,"ice","foundations",220
"m pile - steel welded pipe:600mm diameter:219791",2,"m3","Steel, welded pipe",37034,"ice","foundations",198
"m pile - steel welded pipe:600mm diameter:219769",2,"m3","Steel, welded pipe",37034,"ice","foundations",176
"m pile - steel welded pipe:600mm diameter:219801",2,"m3","Steel, welded pipe",37034,"ice","foundations",208
"m pile - steel welded pipe:600mm diameter:219729",2,"m3","Steel, welded pipe",37034,"ice","foundations",136
"m pile - steel welded pipe:600mm diameter:219723",2,"m3","Steel, welded pipe",37034,"ice","foundations",130
"m pile - steel welded pipe:600mm diameter:219765",2,"m3","Steel, welded pipe",37034,"ice","foundations",172
"m pile - steel welded pipe:600mm diameter:219797",2,"m3","Steel, welded pipe",37034,"ice","foundations",204
"m pile - steel welded pipe:600mm diameter:219713",2,"m3","Steel, welded pipe",37034,"ice","foundations",120
"m pile - steel welded pipe:600mm diameter:219781",2,"m3","Steel, welded pipe",37034,"ice","foundations",188
"m pile - steel welded pipe:600mm diameter:219779",2,"m3","Steel, welded pipe",37034,"ice","foundations",186
"m pile - steel welded pipe:600mm diameter:219743",2,"m3","Steel, welded pipe",37034,"ice","foundations",150
"m pile - steel welded pipe:600mm diameter:219759",2,"m3","Steel, welded pipe",37034,"ice","foundations",166
"m pile - steel welded pipe:600mm diameter:219755",2,"m3","Steel, welded pipe",37034,"ice","foundations",162
"m pile - steel welded pipe:600mm diameter:219739",2,"m3","Steel, welded pipe",37034,"ice","foundations",146
"m pile - steel welded pipe:600mm diameter:219751",2,"m3","Steel, welded pipe",37034,"ice","foundations",158
"m pile - steel welded pipe:600mm diameter:219725",2,"m3","Steel, welded pipe",37034,"ice","foundations",132
"m pile - steel welded pipe:600mm diameter:219733",2,"m3","Steel, welded pipe",37034,"ice","foundations",140
"m pile - steel welded pipe:600mm diameter:219881",2,"m3","Steel, welded pipe",37034,"ice","foundations",288
"m pile - steel welded pipe:600mm diameter:219839",2,"m3","Steel, welded pipe",37034,"ice","foundations",246
"m pile - steel welded pipe:600mm diameter:219829",2,"m3","Steel, welded pipe",37034,"ice","foundations",236
"m pile - steel welded pipe:600mm diameter:219835",2,"m3","Steel, welded pipe",37034,"ice","foundations",242
"m pile - steel welded pipe:600mm diameter:219861",2,"m3","Steel, welded pipe",37034,"ice","foundations",268
"m pile - steel welded pipe:600mm diameter:219871",2,"m3","Steel, welded pipe",37034,"ice","foundations",278
"m pile - steel welded pipe:600mm diameter:219811",2,"m3","Steel, welded pipe",37034,"ice","foundations",218
"m pile - steel welded pipe:600mm diameter:219799",2,"m3","Steel, welded pipe",37034,"ice","foundations",206
"m pile - steel welded pipe:600mm diameter:219821",2,"m3","Steel, welded pipe",37034,"ice","foundations",228
"m pile - steel welded pipe:600mm diameter:219845",2,"m3","Steel, welded pipe",37034,"ice","foundations",252
"m pile - steel welded pipe:600mm diameter:219837",2,"m3","Steel, welded pipe",37034,"ice","foundations",244
"m pile - steel welded pipe:600mm diameter:219865",2,"m3","Steel, welded pipe",37034,"ice","foundations",272
"m pile - steel welded pipe:600mm diameter:219851",2,"m3","Steel, welded pipe",37034,"ice","foundations",258
"m pile - steel welded pipe:600mm diameter:219859",2,"m3","Steel, welded pipe",37034,"ice","foundations",266
"m pile - steel welded pipe:600mm diameter:219819",2,"m3","Steel, welded pipe",37034,"ice","foundations",226
"m pile - steel welded pipe:600mm diameter:219757",2,"m3","Steel, welded pipe",37034,"ice","foundations",164
"m pile - steel welded pipe:600mm diameter:219931",2,"m3","Steel, welded pipe",37034,"ice","foundations",338
"m pile - steel welded pipe:600mm diameter:219907",2,"m3","Steel, welded pipe",37034,"ice","foundations",314
"m pile - steel welded pipe:600mm diameter:219911",2,"m3","Steel, welded pipe",37034,"ice","foundations",318
"m pile - steel welded pipe:600mm diameter:219925",2,"m3","Steel, welded pipe",37034,"ice","foundations",332
"m pile - steel welded pipe:600mm diameter:219899",2,"m3","Steel, welded pipe",37034,"ice","foundations",306
"m pile - steel welded pipe:600mm diameter:219897",2,"m3","Steel, welded pipe",37034,"ice","foundations",304
"m pile - steel welded pipe:600mm diameter:219877",2,"m3","Steel, welded pipe",37034,"ice","foundations",284
"m pile - steel welded pipe:600mm diameter:219853",2,"m3","Steel, welded pipe",37034,"ice","foundations",260
"m pile - steel welded pipe:600mm diameter:219919",2,"m3","Steel, welded pipe",37034,"ice","foundations",326
"m pile - steel welded pipe:600mm diameter:219943",2,"m3","Steel, welded pipe",37034,"ice","foundations",350
"m pile - steel welded pipe:600mm diameter:219917",2,"m3","Steel, welded pipe",37034,"ice","foundations",324
"m pile - steel welded pipe:600mm diameter:219915",2,"m3","Steel, welded pipe",37034,"ice","foundations",322
"m pile - steel welded pipe:600mm diameter:219887",2,"m3","Steel, welded pipe",37034,"ice","foundations",294
"m pile - steel welded pipe:600mm diameter:219875",2,"m3","Steel, welded pipe",37034,"ice","foundations",282
"m pile - steel welded pipe:600mm diameter:219893",2,"m3","Steel, welded pipe",37034,"ice","foundations",300
"m pile - steel welded pipe:600mm diameter:219889",2,"m3","Steel, welded pipe",37034,"ice","foundations",296
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",1,"m3","Concrete RC35/45 with 14% limestone cement",327,"ice","foundations",392
"m pile - steel welded pipe:600mm diameter:219966",2,"m3","Steel, welded pipe",37034,"ice","foundations",364
"m pile - steel welded pipe:600mm diameter:219937",2,"m3","Steel, welded pipe",37034,"ice","foundations",344
"m pile - steel welded pipe:400mm diameter:254075",1,"m3","Steel, welded pipe",16454,"ice","foundations",422
"m pile - steel welded pipe:400mm diameter:254023",1,"m3","Steel, welded pipe",16454,"ice","foundations",412
"m pile - steel welded pipe:600mm diameter:219951",2,"m3","Steel, welded pipe",37034,"ice","foundations",358
"m pile - steel welded pipe:600mm diameter:219980",2,"m3","Steel, welded pipe",37034,"ice","foundations",378
"m pile - steel welded pipe:400mm diameter:254217",1,"m3","Steel, welded pipe",16454,"ice","foundations",450
"m pile - steel welded pipe:400mm diameter:254107",1,"m3","Steel, welded pipe",16454,"ice","foundations",426
"m pile - steel welded pipe:600mm diameter:219968",2,"m3","Steel, welded pipe",37034,"ice","foundations",366
"m pile - steel welded pipe:600mm diameter:219978",2,"m3","Steel, welded pipe",37034,"ice","foundations",376
"m pile - steel welded pipe:600mm diameter:219972",2,"m3","Steel, welded pipe",37034,"ice","foundations",370
"m pile - steel welded pipe:400mm diameter:254202",1,"m3","Steel, welded pipe",16454,"ice","foundations",442
"m pile - steel welded pipe:600mm diameter:219939",2,"m3","Steel, welded pipe",37034,"ice","foundations",346
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254136",4,"m3","Concrete RC40/50 with CEM I cement",1675,"ice","foundations",430
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",0,"m3","Concrete RC35/45 with 14% limestone cement",165,"ice","foundations",390
"m pile - steel welded pipe:600mm diameter:219933",2,"m3","Steel, welded pipe",37034,"ice","foundations",340
"m pile - steel welded pipe:400mm diameter:254664",1,"m3","Steel, welded pipe",16454,"ice","foundations",524
"m pile - steel welded pipe:400mm diameter:254248",1,"m3","Steel, welded pipe",16454,"ice","foundations",452
"m pile - steel welded pipe:400mm diameter:254548",1,"m3","Steel, welded pipe",16454,"ice","foundations",512
"m pile - steel welded pipe:400mm diameter:254478",1,"m3","Steel, welded pipe",16454,"ice","foundations",498
"m pile - steel welded pipe:400mm diameter:254105",1,"m3","Steel, welded pipe",16454,"ice","foundations",424
"m pile - steel welded pipe:400mm diameter:254072",1,"m3","Steel, welded pipe",16454,"ice","foundations",419
"m pile - steel welded pipe:400mm diameter:254198",1,"m3","Steel, welded pipe",16454,"ice","foundations",438
"m pile - steel welded pipe:400mm diameter:254591",1,"m3","Steel, welded pipe",16454,"ice","foundations",516
"m pile - steel welded pipe:400mm diameter:254318",1,"m3","Steel, welded pipe",16454,"ice","foundations",468
"m pile - steel welded pipe:400mm diameter:254284",1,"m3","Steel, welded pipe",16454,"ice","foundations",462
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",4,"m3","Concrete RC35/45 with 14% limestone cement",1493,"ice","foundations",399
"m pile - steel welded pipe:400mm diameter:254514",1,"m3","Steel, welded pipe",16454,"ice","foundations",506
